,productname,product_price,offer
0,SFR,"<div class=""_30jeq3"">₹449</div>",<span>55% off</span>
1,BEEROCK,"<div class=""_30jeq3"">₹494</div>",<span>57% off</span>
2,aadi,"<div class=""_30jeq3"">₹199</div>",<span>80% off</span>
3,SFR,"<div class=""_30jeq3"">₹299</div>",<span>70% off</span>
4,BIRDE,"<div class=""_30jeq3"">₹279</div>",<span>72% off</span>
5,WAAN,"<div class=""_30jeq3"">₹599</div>",<span>70% off</span>
6,SFR,"<div class=""_30jeq3"">₹299</div>",<span>70% off</span>
7,BEEROCK,"<div class=""_30jeq3"">₹494</div>",<span>57% off</span>
8,BIRDE,"<div class=""_30jeq3"">₹299</div>",<span>70% off</span>
9,density,"<div class=""_30jeq3"">₹369</div>",<span>69% off</span>
10,aadi,"<div class=""_30jeq3"">₹299</div>",<span>85% off</span>
11,RapidBox,"<div class=""_30jeq3"">₹571</div>",<span>42% off</span>
12,World Wear Footwear,"<div class=""_30jeq3"">₹349</div>",<span>64% off</span>
13,aadi,"<div class=""_30jeq3"">₹429</div>",<span>78% off</span>
14,CAMPUS,"<div class=""_30jeq3"">₹889</div>",<span>47% off</span>
15,RapidBox,"<div class=""_30jeq3"">₹571</div>",<span>42% off</span>
16,BRUTON,"<div class=""_30jeq3"">₹299</div>",<span>76% off</span>
17,CAMPUS,"<div class=""_30jeq3"">₹899</div>",<span>47% off</span>
18,World Wear Footwear,"<div class=""_30jeq3"">₹379</div>",<span>62% off</span>
19,aRICS,"<div class=""_30jeq3"">₹899</div>",<span>55% off</span>
20,World Wear Footwear,"<div class=""_30jeq3"">₹349</div>",<span>65% off</span>
21,aadi,"<div class=""_30jeq3"">₹429</div>",<span>78% off</span>
22,aadi,"<div class=""_30jeq3"">₹429</div>",<span>57% off</span>
23,Fuoatieec,"<div class=""_30jeq3"">₹509</div>",<span>49% off</span>
24,SFR,"<div class=""_30jeq3"">₹299</div>",<span>58% off</span>
25,aadi,"<div class=""_30jeq3"">₹479</div>",<span>52% off</span>
26,WAAN,"<div class=""_30jeq3"">₹599</div>",<span>70% off</span>
27,Airson,"<div class=""_30jeq3"">₹799</div>",<span>13% off</span>
28,aadi,"<div class=""_30jeq3"">₹299</div>",<span>70% off</span>
29,World Wear Footwear,"<div class=""_30jeq3"">₹299</div>",<span>76% off</span>
30,density,"<div class=""_30jeq3"">₹369</div>",<span>63% off</span>
31,Bacan,"<div class=""_30jeq3"">₹541</div>",<span>45% off</span>
32,AJANTA,"<div class=""_30jeq3"">₹314</div>",<span>55% off</span>
33,Nobelite,"<div class=""_30jeq3"">₹418</div>",<span>70% off</span>
34,AJANTA,"<div class=""_30jeq3"">₹314</div>",<span>55% off</span>
35,JQR,"<div class=""_30jeq3"">₹1,049</div>",<span>25% off</span>
36,AJANTA,"<div class=""_30jeq3"">₹314</div>",<span>55% off</span>
37,BRUTON,"<div class=""_30jeq3"">₹279</div>",<span>78% off</span>
38,World Wear Footwear,"<div class=""_30jeq3"">₹419</div>",<span>58% off</span>
39,Fuoatieec,"<div class=""_30jeq3"">₹509</div>",<span>49% off</span>
